ðŸ‡¨ðŸ‡· COSTA RICAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Sun Haze,451UhXJyYsrOttrdW6JPbq,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,16,https://p.scdn.co/mp3-preview/1b6bc5973353e621e830d0c8e7c02a60b503c272?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dream,2ArVklouU3ypC6vku8OlI6,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,7,https://p.scdn.co/mp3-preview/42fb55023c1c0dc21ade4eb991ef08612e4708bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Not Enough,0H9ox7VqHgNOk40m1G0zJA,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,16,https://p.scdn.co/mp3-preview/9eec765fd751cce0f2bc434542f7e10fe9da1845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Golden Visions,6U2xyQLfSFZi8erSqdiZoO,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,7,https://p.scdn.co/mp3-preview/ca70575323396c5c9b237640ed7cab1aa21a47bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Flower Child,0wLX83tXuBPEneKdv5Rfcd,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,9,https://p.scdn.co/mp3-preview/436b554c4595cf8c1272bca8e12da2b5d1bc637f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Alto Astral,0hugIzOZRHvEzQr7nCQvyL,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,7,https://p.scdn.co/mp3-preview/a42c274df2782bd99fad1b679834868d78a073d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Waves of the New,5Nb8kxCgpSgUUdwRFeJE8J,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,7,https://p.scdn.co/mp3-preview/8e3af931b269506fc162fe7a8a15775cde2e6647?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,California Feeling,4wWUxgQI7q8YoBruqc8emU,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,5,https://p.scdn.co/mp3-preview/1ce59d0acf71ac3530276dab3b483bfd6546cdf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Feel,5WlWWkllLK95zIhS02UZkd,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,5,https://p.scdn.co/mp3-preview/aac595c65bb869699a6c736ffb2d749cdff84cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"I Wanna Be Like You, Lou",0JMedzZjdzxGfxlcwaOOtp,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Waves of the New,6Jn0ykQwhvVBCsd2xsoHUZ,6,https://p.scdn.co/mp3-preview/4591c56560eef029fa2dee8170032767594c877e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dissected Affair,3VJHgzT3uQqqXNjxQg8OsG,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,5,https://p.scdn.co/mp3-preview/8a7c2c521b19000db79f3cbd5ae432683221804c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Marlene,2urs02NxZYPPMAu4mLU0R2,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,13,https://p.scdn.co/mp3-preview/a896a5c22757c85124d46c6052ec44214bd414b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Inside and Out,7D2fWnJx8Jr3B1UTD7VVkC,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,4,https://p.scdn.co/mp3-preview/8e6213f99b08dfbf711cd8fee3edb36e17d86002?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Ghost Names,0Zz9m6oEPCDkACTIyGJQGm,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,3,https://p.scdn.co/mp3-preview/f3aa3e8b39150520e80f7024dcef36bc5f13ab5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,All the Same,4bRSowOaaHWmTSSfPWeoti,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,2,https://p.scdn.co/mp3-preview/06c48302ec5594231f56b720a36d795929e3fc93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Despair,6fEkXcwQh2xgxe28QMxdoW,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,4,https://p.scdn.co/mp3-preview/e3d1522cd9ffa26940e7b76de21aec3be6cf6dc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Seconds Away,54o8VHA1g1ZbIKcueBmbEC,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,4,https://p.scdn.co/mp3-preview/38ddedf87f57217c6f3495b9805da0a07724a939?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Better Days,2yj4at86jhNIn1C40hyd1q,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,9,https://p.scdn.co/mp3-preview/b236310110e3399816be57360dcb046f38bdc972?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Noise,2vAoOL2BQffIWXaTfqlGhg,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,4,https://p.scdn.co/mp3-preview/54c5b155e830028ac838835e3b9e69de29841459?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Fresco De Cas,0FAO1GHqBH4lqnbwjO2UjS,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,3,https://p.scdn.co/mp3-preview/c18b183174f987fcf1ce52b22aba163d8208f8be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Get a Grip,2sqMQDlwV5rL2yjcWhCtYo,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,3,https://p.scdn.co/mp3-preview/e806af313e327945140625cb3e89acd0012c8317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Drowned,6Jeo45DWu6QUEdXD9DoLzp,Las Robertas,6tUZG2qdEyTuJDkTM7WCGp,Days Unmade,3BTXHevpTrfCILy0gBhnvH,4,https://p.scdn.co/mp3-preview/63561eb9eb0a7502fe688d16020f7eb4168d6dcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
