Roséwave: Trixie Mattel's Pink Drink Makeover,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,957,npr_music
1,Yoo Hoo,5TFuoZmzM4BAQLgSYnwPqY,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,Jawbreaker,5rLdXVo4NwmbSNDNo8Yh02,34,not available
2,The Beautiful People - Burlesque Original Motion Picture Soundtrack,2q0N5qUBj88QkR7RtegigJ,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,Burlesque Original Motion Picture Soundtrack,65jNkB2GjWLUZ223XmuKLT,40,https://p.scdn.co/mp3-preview/921475b6912f125e2ff47de9ca5b873895f341f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Confident,0Mn3amMRMoabaoTf1Publ4,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Confident (Deluxe Edition),3HV3ecmJJ2GmHM93vVVKXF,76,not available
4,Yellow Cloud,4Tj1wP32dp4gomie08fdmF,Trixie Mattel,33hAj1SghVYxDAxZxNDcyc,Yellow Cloud,6Hza1N5nPKx1HgdZer695K,46,https://p.scdn.co/mp3-preview/a78d241f83e446bb2034e3fa6fb38f129c038182?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,We R Who We R,3LUWWox8YYykohBbHUrrxd,Kesha,6LqNN22kT3074XbTVUrhzX,Cannibal (Expanded Edition),0pGumY11G8OGH05ti6jh23,71,https://p.scdn.co/mp3-preview/99f2b387ec66f67509c6072ded1923531c8c3be5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Slaytina,1JmueSYqV0w7t0Hfm665LU,Alaska Thunderfuck,4k2ggpJpzdQHCBQ84f1jBy,Poundcake,1Mn1fFikJf1a6IP3J47CTW,30,https://p.scdn.co/mp3-preview/a3eb98ed89c88ee093f3eac43f261c57cad8eab4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,My Pussy (feat. Larry Tee) [John J-C Carr Re-Edit],05Q0X6awnVXnAVHAW8m0os,Amanda Lepore,4rPzjuxvcad2GgpIRt2civ,I...Amanda Lepore (Make Over Sessions),2yppbQmfuNWHy0bVPreCUL,9,https://p.scdn.co/mp3-preview/41cd5a2b797c12a4aa49ba8c2c876af52f7668c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Spooky - Quinten 909 Extended Remix,4pR0M3MWNjotbg7YOq9yn5,Dusty Springfield,5zaXYwewAXedKNCff45U5l,Spooky (Quinten 909 Remix),0vpWPvT28pMcsoCNr0KrtP,47,https://p.scdn.co/mp3-preview/41528cf4a10d6f84cef1aa2de676f7ee94f33180?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Do I Look Like a Slut - Original Mix,3HO7khnC1Ixt0gLNqdYUtt,Avenue D,07vquvD3jE2VQShcu6V4fL,Do I Look Like a Slut?,3POpYIOM1cRRCJbOAHyXbz,23,https://p.scdn.co/mp3-preview/e962df5b7cf135f4c47ab72ac81367a0960c934b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Venus,0Z3xhSOhrawLV81YdiDiiJ,Shocking Blue,5WimOFbBnCU5wI6t5PPpEk,At Home,2vbAImlNuDjPBMdU6T1oRQ,60,https://p.scdn.co/mp3-preview/f851b4d1cb2011f4faa767a1467cd908a0c9c4ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Beautiful,1jnk5ZFH5o0TQgNB8wLIPs,The Go-Go's,2mG8HHQ9S9kcbjcrb5N1FE,Return To The Valley Of The Go-Go's,2Fz3LCOdrEUXSYMKaQ5C2f,26,not available
12,My Hair Looks Fierce - Original,08yzdQW3TpyAwTToQjkYJW,Amanda Lepore,4rPzjuxvcad2GgpIRt2civ,Introducing...Amanda Lepore,0Z96e8zrSgJfokKZfo0Qxb,28,https://p.scdn.co/mp3-preview/25a3719a797fc19c679ac40ee56c667fb977b201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Wig In A Box,2pEt1u6qYvHA1OZN8adDcf,Hedwig & The Angry Inch,6NxcE1vZdlUZCnuitqIuHS,Hedwig and the Angry Inch - Original Motion Picture Soundtrack,79l4BIW8SN0M7bZAGmP0EB,37,https://p.scdn.co/mp3-preview/c0434030797622be92092d43d0a977a9762e145a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Amazing,6CQqi9grqoHMlzrXZlTMvB,Hi Fashion,1YJ9OtMAkpvxO70ydEm7aZ,Sprechen Sie Hi Fashion?,4xSVPQGRG90FP9kRwbnZlR,36,https://p.scdn.co/mp3-preview/6b371f0e6b9316c9863fca47a16dbf1dcda2e9d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I Know What Boys Like,2SXRFmLvNjOTuL9eCYWsrx,The Waitresses,57AKOY1SF1062tuVzgAPv8,The Best Of The Waitresses,5WBJTuam0c279awlGAfEaU,40,not available
16,Bettie,4nYLbO2YHP0VXMoM9nlsZF,Violet Chachki,39MrkAPZRa0GzXX7KaSC3m,Bettie,4aBWf2dyhd8w4GWa9252xz,34,https://p.scdn.co/mp3-preview/6bd5351c9a0c1c67cc0bc93388af5fee2ae2fb03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Tom's Diner,73Iz0ppjXiDwgXqXaMd9Xp,Giorgio Moroder,6jU2Tt13MmXYk0ZBv1KmfO,Déjà vu,09IChrkzmFo9ZZroCRYujr,44,https://p.scdn.co/mp3-preview/363e0b42e37a6030d6eb90ab3eb4bb1b22dba891?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,She's Not There,3dzW0SoVNyJTWWJimX8stj,The Zombies,2jgPkn6LuUazBoBk6vvjh5,Begin Here,1vWVHhniWzqyNC0UzDDGs4,60,https://p.scdn.co/mp3-preview/3a76321231fe16df6523a7af5d0b83ae23d7f566?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Battle Axe,0eOcjwlU6EA4KPBwYTUAVx,Sharon Needles,7yPRmfUuRcpGwOsHVqQgae,Battle Axe,6nSoW9z50cHNMa4yYxVcpc,32,https://p.scdn.co/mp3-preview/ee5d1178ac057ae8d58017a03d6dce56f2a03e62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Chick Habit,19116nP4eo6LsWDcMSKrcy,April March,0bbvrSsm0Dh4erBbE1dhHD,Chick Habit,79eFrQh7wSuDLGmySfd9GD,52,https://p.scdn.co/mp3-preview/c09057042a91e87a34314a2f6c39cf7153115e8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Supermodel,4lHaUgqumnhiqLPwoG4MND,Jill Sobule,16BoY9HfrtxVodHVdgad07,Clueless / Original Motion Picture Soundtrack,3OrviLrUARxsTuGdWdQTMh,40,not available
22,Chapstick,4coYgSiunhRkn3FpU65lc5,Todrick Hall,0gBvuNzrFCOVaiyKexoYMH,"Haus Party, Pt. 1",35sdN1DEfjFcOATBtQwHxt,55,https://p.scdn.co/mp3-preview/83a6aaf9994ca0de8e99d6fe4e96bec25b3cc461?cid=fa83a2fec7c440b7a2795d600d6b2c7e
