¡Baila Sin Parar!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1100353,spotify_espa%C3%B1a
1,Shape of You,0FE9t6xYkqWXU2ahLh6D8X,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Shape of You,7oJa8bPFKVbq4c7NswXHw8,77,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,Sia,5WUlDfRSoLAfcVSX1WnrxN,This Is Acting,77jAfTh3KH9K2reMOmTgOh,77,https://p.scdn.co/mp3-preview/88816b2040a092aa99d5b0e42945d79dc5027c1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,The Heist,76FXHQhTuT4QMIxfL09gX8,82,https://p.scdn.co/mp3-preview/1f826380a449ec9a8bae45967d908fffd7ff5222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Baila Baila Baila,6xQurnsfSvF3hQwU5EIqB8,83,https://p.scdn.co/mp3-preview/4c1bb98af6bb9e678489c6f4f85332caf58b9e1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,Calma (Remix),1tFnP9PwIMeMIuj92mfswZ,88,https://p.scdn.co/mp3-preview/acf9b4cf204f350851f699c3a3a360d413056f0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,78EicdHZr5XBWD7llEZ1Jh,90,not available
7,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,19,not available
8,Lola Bunny,7IzbHY75UhGztauT7U5eKb,Lola Indigo,3bvfu2KAve4lPHrhEFDZna,Lola Bunny,6ZzTJncT5EwHp5Pa4xwFpS,77,not available
9,7 rings,14msK75pk3pA33pzPVNtBF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,03D36t8ODrA8ATvoTStU9P,48,not available
10,Desconocidos,0s5DNDV6LAKn2u2Ufa3VjQ,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,Desconocidos,0vfE72mb2weKSONtBC6SPJ,82,https://p.scdn.co/mp3-preview/6c05d1e43979585a14b20013c2ed41cff4d706e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Contando Lunares (feat. Cruz Cafuné),6Cs7b9bu3fy5XhMwBA9Tz4,Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,La Dura Vida del Joven Rapero,0Gx6K4nFJlqmBXIRgoKLBb,30,not available
12,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,4PgleR09JVnm3zY1fW3XBA,83,https://p.scdn.co/mp3-preview/f09116ce18bd77f543e68a925e5a96509e79ac6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Side To Side,4pLwZjInHj3SimIyN9SnOz,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,4lVR2fg3DAUQpGVJ6DciHW,21,not available
14,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MIA (feat. Drake),0p0W4RXcnc59jgatcdZozO,86,https://p.scdn.co/mp3-preview/1aa25af8a24b4c54dad8958fe3478b78ce5088bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Mami,3bDD7GGvIzAZeHz2TOYD3A,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Mami,069LGoUMDaNgoKStPYdSi8,79,https://p.scdn.co/mp3-preview/7fc85e58775f26a840990f3f251af120fb9af63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Fancy,3oiMJQAWVaxSubJ7b2VUtX,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,The New Classic (Deluxe Version),5kfo2COwQYeYR3cE69aSgx,69,not available
17,Swish Swish,2y6vf5vYJFow4oABKSW1m3,Katy Perry,6jJ0s89eD6GaHleKKya26X,Witness,34bapzNG3Mtwvp6kajrmOT,7,not available
18,Thrift Shop (feat. Wanz),4YMqbFcDIFiCBd02PzUBcM,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,The Heist,6XO9dbsH9zhuQgFGH0hUrb,72,https://p.scdn.co/mp3-preview/26cdc03872031160b4ec74e8b2bd21ae7359c46d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Dile la Verdad,6qP73DRFGojLuIk1siIhNE,The Rudeboyz,7ciBW1p3KBsYIkFk4UmwS8,Dile la Verdad,3Dkx5E4pkCpRrcZd4mww3B,72,https://p.scdn.co/mp3-preview/0b10b5c1972063608c6284d547ad4a2730ad685e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Sorry,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,81,not available
21,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Me Rehúso,4RrvIEhnaHKpFxsjXc4D7d,78,https://p.scdn.co/mp3-preview/e44589534ea9a8956c0305e1545977ae8a1a482c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Celoso,33zcmmElV1YbRZe57biUjg,Lele Pons,6i3DxIlAqnDkwELLw4aVrx,Celoso,0gXUZc4bTQzNqLvIyeObHm,72,not available
23,Believer,05KfyCEE6otdlT1pp2VIjP,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Believer,3d74p8E8jFhgKogypxpZAd,17,not available
24,Escápate Conmigo (feat. Ozuna),1KSqYYJFyfTecXFk9M0prc,Wisin,3E6xrwgnVfYCrCs0ePERDz,Victory,6I32dRerwcm3jYRsprxb5k,78,https://p.scdn.co/mp3-preview/68cd7f2118c3cfe1a4f6b9f00468753bb83b3301?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",6BaCraQ9xeLYg4Sb9TBT2X,Calvin Harris,7CajNmpbOovFoOoasH2HaY,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",52LQhrLLYOup9HhaOsv54e,69,https://p.scdn.co/mp3-preview/0c58b32cdd0231ce4dc3cc2fe63a71046fd9f586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Dark Horse,5jrdCoLpJSvHHorevXBATy,Katy Perry,6jJ0s89eD6GaHleKKya26X,PRISM (Deluxe),5MQBzs5YlZlE28mD9yUItn,78,not available
27,Ella Quiere Beber - Remix,2cYnZNzFRFK0H7vSNxPsUq,Anuel AA,2R21vXR83lH98kGeO99Y66,Ella Quiere Beber (Remix),6lNu03TCXIXoalIH2r65Xm,24,not available
28,Worth It,41Fflg7qHiVOD6dEPvsCzO,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,Reflection (Deluxe),0zAsh6hObeNmFgFPrUiFcP,76,https://p.scdn.co/mp3-preview/c0f02a6635d964af34db76eaaa60f45c6c73580a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Imposible,3ao3OVxHlb3C08vAaApUlm,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Imposible,6wTDNbatkWKnP7r9v8NckA,76,not available
30,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",1jHSAfCHKUFx5imuezI7HE,77,https://p.scdn.co/mp3-preview/93d0ac52041e580e2dfb7a451f1f9c6443677761?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Want to Want Me,7oGZAicScQt96OAW4AruYy,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Everything Is 4,59eUYETmE1zi31ESb3SUkI,76,https://p.scdn.co/mp3-preview/d0727e5bbaef36980bc20f5c5cccf3c757af7bb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Otra vez (feat. J Balvin),7pk3EpFtmsOdj8iUhjmeCM,Zion & Lennox,21451j1KhjAiaYKflxBjr1,Otra Vez (feat. J Balvin),5GjKG3Y8OvSVJO55dQTFyD,67,https://p.scdn.co/mp3-preview/79c8c9edc4f1ced9dbc368f24374421ed0a33005?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s,80,not available
34,Telephone,00BuKLSAFkaEkaVAgIMbeA,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame Monster (International Deluxe),67j3NJodNRI8USUwKwTZA6,10,not available
35,Lush Life,0r4SsYcwvd8URat6AS2m6f,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Lush Life,6x3lObhgC3H0KpOfePojFG,23,not available
36,I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,86,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,39P7VD7qlg3Z0ltq60eHp7,71,https://p.scdn.co/mp3-preview/69c8bae97df9121ee440b23053fe20f64c204408?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Into You,7yHEDfrJNd0zWOfXwydNH0,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,4lVR2fg3DAUQpGVJ6DciHW,21,not available
39,I Love It (feat. Charli XCX) - Original Version,3VZQshi4COChhXaz7cLP02,Icona Pop,1VBflYyxBhnDc9uVib98rw,I Love It,5hf74KpfuwSJXVs85k3dVI,68,https://p.scdn.co/mp3-preview/53d0fca6eb2c0180aeed0d6db7703d3f3d2c1c77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Robarte un Beso,4z3GJkrtH97Bj6fRta983T,Carlos Vives,4vhNDa5ycK0ST968ek7kRr,Robarte un Beso,7GHzOfrRSByTZNy5rAqXgK,13,not available
41,Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,21451j1KhjAiaYKflxBjr1,Motivan2,22lEQJ7khtB2yvsq84FDQb,75,https://p.scdn.co/mp3-preview/79c8c9edc4f1ced9dbc368f24374421ed0a33005?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Closer,0rSLgV8p5FzfnqlEk4GzxE,86,https://p.scdn.co/mp3-preview/8d3df1c64907cb183bff5a127b1525b530992afb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,Justin Timberlake,31TPClRtHm23RisEBtV3X7,FutureSex/LoveSounds,2scB1uhcCI1TSf6b9TCZK3,75,https://p.scdn.co/mp3-preview/e4ff7d627759f7c67e5814ddd821ba6b507136da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Una Lady Como Tú,75maIus9xRaEQzPXOSOTew,75,https://p.scdn.co/mp3-preview/2e1770bdff7237a5fd2e91ef8b8df49a19ef1b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Me Llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Me Llamas (feat. Maluma) [Remix],2mqj8lMnZRYR5hapcNVpRq,74,https://p.scdn.co/mp3-preview/85095843e1751ea3c834e853e4e02d906e5b7fc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Odisea,4s05NbwGgw5SO42AdsN5Oo,77,https://p.scdn.co/mp3-preview/1126493551b3be5dcc9b51ca949442eea4662518?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,2U,762UXiwEHYY97VL45sAUPR,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2U,0EYVu7ginQ5nPsQj3woBAQ,68,not available
48,Traicionera,79Jhw5xn4gGn6PZak275gg,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Traicionera,7aTqiX68z42xqpEsiWBz4O,68,not available
49,How Deep Is Your Love,22mek4IiqubGD9ctzxc69s,Calvin Harris,7CajNmpbOovFoOoasH2HaY,How Deep Is Your Love,3cG32DOXJoYlOHMmJIaQsm,77,https://p.scdn.co/mp3-preview/cf1be40ee1b6e350bb6ae77f71f17cbbf63f45e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Bonita,0atfY1ew83Ql9nNnJiD2t5,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Bonita,5VVKOOGmPdCa8Iie0Jzydb,75,not available
