Pop Brandneu,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,364400,spotify_germany
1,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,67,not available
2,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
3,Beat of My Heart,76CrkEsjBMyJyxymvmx2hK,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Alive and Feeling Fine,1oBajnDtZiBg03ebaFZYoj,42,https://p.scdn.co/mp3-preview/64702056e8b3733203d4c9c7ea9d320a140c4fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,72,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Never Alone,4w3InOZmItJiSlhnkr3lv6,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Never Alone,3MdfIe4hKDL59tOpVwC7DW,68,not available
6,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,75,https://p.scdn.co/mp3-preview/c56216be5426c927962636e64f4b67981b06a556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,93,not available
8,Wenn Liebe kommt,1MEpVyXTheTBd5J7l6Jliz,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Glück,4gJTy9zfnHtlwl5eNSaLok,47,https://p.scdn.co/mp3-preview/35e3a053a7e01ae19e9bb234ec909a54b193449d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,91,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,JEKYLL & HIDE,2kAadwXJH9Dr53anSQv1Xy,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,JEKYLL & HIDE,4nnaqKFmhU9KH6rloQ5Z8t,57,not available
11,Stack It Up (feat. A Boogie Wit da Hoodie),1xU2QZ40MY4Ex2pfczZa9U,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,Stack It Up,3R4bm24vpp2UiKr567EtAD,79,not available
12,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,81,not available
13,Keep On Loving,2JPRzi73qRt1kYSSwQHQUJ,Topic,0u6GtibW46tFX7koQ6uNJZ,Keep On Loving,5ODwXvnCJLwIMqs4iqYIG7,57,not available
14,194 Länder - Single Version,6kga9ZYARzHBprnLOENrMQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,194 Länder,0L0xCOeLaNEErHE74qOfED,65,https://p.scdn.co/mp3-preview/225b9d321c72372c20f1941186a148ea36235191?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,68,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,A.N.i.M.A.L,3YSkWJwhWeOGcaO5Sb1c3d,John Newman,34v5MVKeQnIo0CWYMbbrPf,A.N.i.M.A.L,6XCkgkOCWb4YOs2LGKl60z,60,not available
17,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,69,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The Last Time,1maoY6K6fsTEv9fhXhBL14,The Script,3AQRLZ9PuTAozP28Skbq8V,The Last Time,7hKlP3f3yyQjizcUIKWvZk,75,https://p.scdn.co/mp3-preview/a01724234b85486ecd51a9033b18b6ba8b08e8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Lights Up,2plLJpUcYPFrl1sW2pMG63,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Lights Up,4Aag1alBrdk2TFnATVmn8D,85,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Never forgiving,4YBMSSP6uLM0Y0eFhFkp58,Emma Steinbakken,3GIadM69XShFZNB3gP67Td,Never forgiving,4au0knWAMpEUB7PSZKAkns,46,https://p.scdn.co/mp3-preview/213790af210ecf2eb1cbcff85c54fb3530cfec3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Julia (feat. Soran),4qHQEsFfNDoq5c0FXlREL8,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Julia (feat. Soran),17tOFnReEgt8R97riMgvLC,59,https://p.scdn.co/mp3-preview/90b6a1c33baf881b86f9bf8a708213cd38b3668f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Young,2lrRZiGiXb9ThjVo132xhc,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Young,5ZZk99V9SwyA5LuYKWv3EN,55,https://p.scdn.co/mp3-preview/4ac568960ba4440a6279c14bf7df0105a08843bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,TALK DEEP,6RMvf7OCYYSw4x2K8UakDt,E^ST,7ASucWaI33cepJbo74Hlo0,TALK DEEP,6QSypClxqJS7M5fhLSbuK7,45,https://p.scdn.co/mp3-preview/ba5f78511fefb247a0f921495adf9bb3647c55d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Einmal im Leben,5YOKXGkBdTHpGhnBUtVaFH,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Einmal im Leben,5hDhVnDbpguNCpD6cnAWBG,63,not available
25,The Least That I Could Do,7B0agS1sIVLUGYG5oVHZ3V,Plested,2nJYGgfTf2846LtVB3AES8,The Least That I Could Do,1lQkmbE6ix1E4uUhrselp4,51,https://p.scdn.co/mp3-preview/bd7efaf365f08d2c198e7a2ed833fdb1e374e3f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Afterlife,6PFyGdWw0qnstR8KJAWrrr,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Afterlife (Dickinson),5172ZzQfuoa0joJIekZCDa,76,not available
27,Jetzt bin ich ja hier,0AdBvkg8yVPm0t3q8Lkf4b,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Jetzt bin ich ja hier,49n6x2tWqoBS1jP5kcpKNw,52,https://p.scdn.co/mp3-preview/a32ea06cbcb17a4425486387f3d5da7d44abe3ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,original me (feat. dan reynolds of imagine dragons),4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,original me (feat. dan reynolds of imagine dragons),6Qdnzl2AlEZDIeU3AaLnNM,71,not available
29,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (with ZAYN),5QqqBZmdQmY1MvlnpBkagB,84,not available
30,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,83,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Exhale,3habomq2nwlaN5Jqrl5PT8,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Exhale,4c8EDhWsVDfqw8knVVTOn8,65,https://p.scdn.co/mp3-preview/0ef8f727eacf8d669f680411821f8dd8c96efef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Don't Let Me Go,0mraAV1twNnnsS73Km9JEw,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Don't Let Me Go,2X44RWddp0EsjkJvClLN13,62,https://p.scdn.co/mp3-preview/d03b244bc5892474aeefb3a81dc5cb3eef078f1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,You (feat. Travis Barker),57CsOeLJrdI20fS4Z8pZPj,James Arthur,4IWBUUAFIplrNtaOHcJPRM,You (feat. Travis Barker),0EW257HwkJ1CblYgM9GIAY,64,https://p.scdn.co/mp3-preview/0262f6de6d1800d4646d665b45893440f7ba15e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,75,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Somebody To Love,0yc37FvbXRwwFaQxzpxbsd,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Somebody To Love,1YjQ5Q5ptRnQcT4P6nSCyt,78,not available
36,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,RITMO (Bad Boys For Life),6EobpC5SDFy5DF50dWNVGF,68,https://p.scdn.co/mp3-preview/60e9246623919cb164490957ba79af46ceabe237?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Bruises - Live Orchestral Version,5FMSmqgBagV4KSMqMjB2Ro,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Bruises EP,3bAq5agU2IUDfDuO4w50aR,71,not available
38,Holy Water,7Ga9ZSdPAcQXQvd1ObVFpm,Galantis,4sTQVOfp9vEMCemLw50sbu,Holy Water,18C3JLfjKrkCKZubEhqJuw,72,https://p.scdn.co/mp3-preview/c2c54ef611015334a3a315ba8352365bbfaf9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Nothing To Lose,14z1iYshF7NLwKryltUWld,DI-RECT,0d1nFNO90pwRmCeeqjOx2Q,Nothing To Lose,7KqpShsT1wPSmFpntjHPIE,42,https://p.scdn.co/mp3-preview/220c5fd710cb90ea7df5c039dcb555d9acaa387d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,The Game,64kY8ox52wBR7sWI3pcNwj,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,4o8zheBB9DDkWKjUIEfGNe,55,not available
41,I Know I Know,3ETT3J4DZNLNJtbgjHdTas,Kafka Tamura,1MNMJJ5gOHtCoKFrNxWBFp,I Know I Know,1UmGVT3s5UxOiucy8lnN8u,15,https://p.scdn.co/mp3-preview/6af6722b3026a40e539802160aff4c8cf11a27a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,I Could Get Used To This,5BDmCfpzQeXT4AuxyO5ATs,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,I Could Get Used To This,6u7I12iNeaPAXdvOgxsaZ7,60,not available
43,Own Me,2CnscesDhDpF7LpURtgBEv,bülow,5vBrKGOjN10BMwB0cJADj4,The Contender,75OmZv2K9rN3ySHEvc8GIQ,62,not available
44,Problems,75ylrnob5O80WTKi9ugZ1Z,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,ASYLUM,1qnAzDoa24ZYCZDzmP74sL,66,https://p.scdn.co/mp3-preview/b54e8d9c4b1762d2cca4dedf95b0aa5fdfe58122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,82,not available
46,Feelings,0y675KDleCZEudjoeL1sQQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Feelings,1MFxXAGWNIuz0X1hS9VRiS,85,https://p.scdn.co/mp3-preview/542f5d521155b6839d135e41e08d232982cfe112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),3wpdeV1FZfiEnelZSfAFp4,84,not available
48,Finally Feel Good,1QyxXnQXlGqG28syVg3LyP,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Finally Feel Good,6avkPAfv7cjDlQL4Cotd5S,72,https://p.scdn.co/mp3-preview/95494fbdc79e3b91870d31e26ee7a85cce1e064b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Vertigo - Radio Edit,5VAME3mVIuLtW0g2Lqv9hq,Gil Glaze,6pNzdcgIaKQKsYNS5agP4V,Vertigo (Radio Edit),68tpFvfuX12FlNu3cg28dL,47,https://p.scdn.co/mp3-preview/aacc073e211c4b8da0aa856a522fa1586423d094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Play Your Game,51T2yBmmeBieiKK6wcQhgl,X Lovers,1Hr5Adjkxh6ihfsoahOY38,Play Your Game,7spN8eJUXtXdACDJMTPWth,53,https://p.scdn.co/mp3-preview/5d853e084633a097868b0a6eb166f3badbc32d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,75,not available
52,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,87,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,This Could Be Love,6pYWX2sqfzlfao3irB9iXw,Violet Skies,56w356OnIbrmFsOFcx3NQN,This Could Be Love,6KBXkshoN7saKqCqMz9tdu,46,https://p.scdn.co/mp3-preview/4afea7cf45e3d1cf6cf1a60bb7114325292edc95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Don't Forget,4RCoF6i2UWlG2npNI6u4Q8,LIZOT,12A83CWwFiyXy90ScLWPIe,Don't Forget,4AKbCYO4dfCtua8aGCWWJY,49,https://p.scdn.co/mp3-preview/711bd7ea74e5753e8a0df7bdee536bef98a8dcd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Memories,6KGmJmuN07Y8JWI1Dx9UNo,Run,5i9tDnbaegT3SxDMv2JmVA,Memories,3B9en7Ev495p3qgH8lqMJQ,40,https://p.scdn.co/mp3-preview/4ac5c564af70be7832cc9531390e349a8d4bf8d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,73,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Rather Be Alone,6L32iYnvUR3JrHjxShOESf,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Rather Be Alone,2hedSL1FfNMZFUJDhyQAwt,66,https://p.scdn.co/mp3-preview/962f05539a25ef628e21f9156a9244f8ac405ad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Nur wegen dir,2blXSklTHVQzQeXpyAIXAx,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Nur wegen dir,2SO6RWu1Ri5nGlpkNnhiD6,54,https://p.scdn.co/mp3-preview/dd6fd78ffa116c03c67fe7af8bb2dc97bc51abac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Dip My Heart in Confetti,2zzk4jkVObPc5tl97YEJln,Lxandra,6kveFlWW2CZY1bfiX51UnW,Dip My Heart In Confetti,1YcowXjbJa5kRb0TCuTG0E,47,not available
60,There Will Be Blood,3MTk8zTFCHgMei64ycr6GH,Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,TURN OFF THE LIGHT,1DHYrQEevTTen4mqPgaxfH,67,https://p.scdn.co/mp3-preview/1d5c358ad9c79a948ca9f4fe79d90cb02fb7f865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Sims,7sJwGtoWgkVRwzujlyT3cp,Lauv,5JZ7CnR6gTvEMKX4g70Amv,~how i'm feeling~,2ASTOinfP52bAbWPzXmjYz,77,https://p.scdn.co/mp3-preview/6c4103a1d4ee6272c1f29f991a90d02c6bfe5275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Haribo,3o8Kh0CpiwxhUTmpM8C1uf,Mathea,3r5Kc95Oz8lDc8BL9ChO7n,M1,4c3Tq187OaBo09SAE2pZxJ,53,https://p.scdn.co/mp3-preview/e1b3d49500aa118e4e993911bc7e04064ed6ae4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Boys Like You,73yR3kAdE531RRYUdFLWad,dodie,21TinSsF5ytwsfdyz5VSVS,Boys Like You,2Bx4wirLMd21SZ3cR1WkBF,67,https://p.scdn.co/mp3-preview/9ce2da39d895aba9cea83d5f81d19db3ccb95081?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Wild Girl,3IqwOIVNLdBs7av6n8Plrt,Kito,3FLUBwpAnaIlIKeaBfsxFe,Wild Girl,5gjaKIotnXLPTsb9lvp5vT,62,not available
65,Fado,0XQwebT5iNu5eyoQi98QbT,Milky Chance,1hzfo8twXdOegF3xireCYs,Fado,6g5sp0aWHpa5VzRKeXWb3x,53,not available
66,Wild West,3UqQUExRt3YlS4PNo5Thtq,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Wild West,3rOY8x33we7f3fUaFXmJig,68,https://p.scdn.co/mp3-preview/c88a633bda8832072188b9043f02d655e68e141c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,If You Need Me,3dqcHUPGMQD5baOC5Ylp7L,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,If You Need Me,4eeHl4rHfVSo0IDTSZ2ECq,72,not available
68,Waste,5eV4XhCZT6QaeqK4nVqIEo,Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,Bloodshot / Waste,2GkFw24RAab0MJNexdE43z,67,https://p.scdn.co/mp3-preview/be97fdabcac6320611e8408a138afa6b3db95ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,67,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Que Calor (feat. J Balvin & El Alfa),1G2CAJeP7rCwOZjlSJ0Zw3,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Que Calor (feat. J Balvin & El Alfa),6RrC644Y4IxLrWXtCO6z90,60,https://p.scdn.co/mp3-preview/bd11e202ed780e29e695c044051789399eca76ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Wanted,1lGVyEkGHUz7Pg78QGaS4a,NOTD,5jAMCwdNHWr7JThxtMuEyy,Wanted,5sPC6RYCERdNCzHLRf9zHb,72,not available
72,Problems,5fgHQws1Cj6KDLQmlqM6lF,DeathbyRomy,7aWpPjjgItUnXljFxYYKZI,Problems,5qrMJHElz2d5ig6NDIY6cv,56,not available
73,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,61,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Don't Say,6rHC7eMaQDDpbm29WuuJbe,Robinson,38CvLGTsjtoloDgv3OKQp8,Don't Say,6yYmVFP4TaBffBvA604Ney,60,https://p.scdn.co/mp3-preview/2f5c14b5904434f0bf26cf1fb0bf0a7384d7df5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,EXTRA FR!ES,5JfXI7NmMyak0lAzCTbVUw,ILIRA,6mzs66iVW15C5iLt0JLt41,EXTRA FR!ES,7J9nP67J4hULMaGGrYdOUu,53,https://p.scdn.co/mp3-preview/36e473e03dbfdcea5ac473a4721d63e73bf93f68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,77,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Träum ja nur (Hippies),21waa1WZ3JCbtXLoBwLPLj,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Träum ja nur (Hippies),5RQXNzk9AvYPHQqpraLN4K,54,https://p.scdn.co/mp3-preview/377540fe82b2377c92655b59becf653c41f98f2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Treehouse,0Zrxq7AxjJQrVg013MYgU2,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Treehouse,0xDUWlPe0z4xOiBi41dmb9,63,https://p.scdn.co/mp3-preview/c97b891d3863882eaccdfc8d381ddd1b21a25a80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Black & Blue,1Y59TyltHoDl4YK2R3nCRm,Nina Nesbitt,7AzjETXRUKNRSJHMW9GIqd,Black & Blue,6UEjnGUIcJjL2uBZJGD3tt,46,https://p.scdn.co/mp3-preview/94cf3c13557059cff2bd86191d5ac3c1e795658c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Baggage (with AlunaGeorge),214h7kR7uNssAoU5AbcaIS,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Baggage (with AlunaGeorge),6HkVLOM8m07Du0cz7SsnwR,71,not available
81,NEVER GONNA LIKE YOU,5lzp3WgXCd94gI7cQaQ9bQ,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,NEVER GONNA LIKE YOU,0TjCBvNrdzsmj7EhQsEYik,70,not available
