OFF POP,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,332468,spotify_germany
1,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,0,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dance Monkey,3HCfLj84q3qXdArLlA1dV5,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,797fOEI7XtMW8HMfL0OFbp,80,not available
3,Alibi,0yCL6EMx0Wn8J0jkHp9OWD,Mansionair,4qOzMSukiZoiSjPQw8Zs7s,Shadowboxer,3LwnSZ7lUh1jUWYPNGQ3gj,45,not available
4,bad idea!,1M4Ud66z18wuIq3oOxqVHa,girl in red,3uwAm6vQy7kWPS2bciKWx9,bad idea!,6riOnMD3YhF8kGpAXpxbdj,69,https://p.scdn.co/mp3-preview/f99f14ed1250bae0111186e3edd5086efb4c122f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Can't Stop Your Lovin',5P1eorfAD2voGnX7ZbuvFz,Poolside,5szdY7KaSi7epwyffrbV8c,Can't Stop Your Lovin',4wk1q3SvmE08InkoJKodlW,64,https://p.scdn.co/mp3-preview/38ea5c24cead7747e173803cb5145036a8edf79d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Linked,3rCtueI7qBN2kZBZnXuk5K,Bonobo,0cmWgDlu9CwTgxPhf403hb,Linked,6Eb3lH04iEMK0YJ8gk01MR,65,https://p.scdn.co/mp3-preview/a5edf2b1a999be17263c35ea296cb41d2b72ad25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Contaminated,4uFWvdUqRUjL9LkTULhPzO,BANKS,2xe8IXgCTpwHE3eA9hTs4n,Contaminated,2MMIuj2Fzrsz3sr7UKHZAp,60,not available
9,Borderline,3O8X1DE9btbzy4UH9cSX9a,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Borderline,5zGidcaAvNahQrYhyQwAQn,77,not available
10,Walking In The Dark,1aic99Zmu8ES1kwd7b0QII,Metronomy,54QMjE4toDfiCryzYWCpXX,Walking In The Dark,52jXGiAU5zp6v3Gq4THHaf,56,not available
11,There Is Still Pain Left - Anja Schneider Remix,602pXS2dkEPNLbiPjyMokg,Sophie Hunger,3nOQJdlPEzFVhTEzxwcGax,Molecules Remix,6aIsBjQe2ytMrIX1I8m3Cb,50,not available
12,Swimming Pool,1yO91Oyey81Sjp5kb9O1dw,Millie Turner,53GC8IrnkJXGO7znOiv4tD,Swimming Pool,6mQD5plC1L2DgEtNpH5RUI,49,https://p.scdn.co/mp3-preview/7349dcb4f2a036816c45dc7d554fb6d14f8f750e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Let You Know,7p0tz5SeCrSxTLSvwR8W3D,Flume,6nxWCVXbOlEVRexSbLsTer,Let You Know,0JWZvxiJLvRQwqKL2IhcD0,72,https://p.scdn.co/mp3-preview/8a3b514dcde999454a20c4793b423da945456d2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,unspoken words,0XUU1fzICK7484jpGnfGvd,mxmtoon,0HthCchcL0kVLHTr113Vk1,the masquerade,5mNk0mLiGcJHLGiT0mjHmX,59,https://p.scdn.co/mp3-preview/e84441e51658a2d8d8b45ff38b187da84c2f63dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Kalif Onya,0mesXBMiwhSsFjUJNe9k1T,Al Pride,2H348ORtPqCyeJllhI8ddB,Kalif Onya,0CrAZ1bf2mckuZSGsLckDl,45,https://p.scdn.co/mp3-preview/ab827166e15d721021704a90bb88387feaf6bd21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Find Out,4X73YQfkxS6pdU9gPpSEa4,khai dreams,0lawSNBxNgJFQYJnQzLH8c,Find Out,3lIPgtiGLjEVwLXbDuUf86,55,https://p.scdn.co/mp3-preview/78030252c0204ec008eca3a8d4045b3bcc4c7a27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,holy terrain,0ND36delZlYUcwNaCk9Uf5,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,holy terrain,1hDlZBsaWOz8St9iioQF0y,72,https://p.scdn.co/mp3-preview/a77c481b1915cc4c2d19da312efef11c036b57fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Anna Painting,4Q8LnVINko045PEZ9pul8v,Four Tet,7Eu1txygG6nJttLHbZdQOh,Anna Painting,0CTMk3XKsfG1LfmKu1KCCA,59,https://p.scdn.co/mp3-preview/9cf515ea30d18174cbe7cb99814c8aa6786eb2c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bruise,6vJFWet1sMnWrKE8dDmfGG,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,Bruise,0HR7LLku7QMhusktFwyQx6,52,https://p.scdn.co/mp3-preview/536aa6905723578338118d782a73ccd6a772fb83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Naeem,10HyIp1uCZbLvS4ImdgHg7,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,Naeem,6GXEPutCTzXosjcz2hOvWy,63,https://p.scdn.co/mp3-preview/1d0aa4ae9278dc556b380d734e6733246f9f6e7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Softly,4PvbbMYL4fkToni5BLaYRb,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Immunity,4kkVGtCqE2NiAKosri9Rnd,72,not available
22,Château Lafite,307xtzHztyzQSWpZ6Cmkew,Bonaparte,2jwl8DJIsmnFbA5vPdGSCy,Château Lafite,1YpNy0DW9QsPmi2rCJxc6y,48,https://p.scdn.co/mp3-preview/493102155252263dccbf7c1cf5818ef0c9b2125e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Violence,1AL43xNYEG5KSoqf9Yd6Cr,Grimes,053q0ukIDRgzwTr4vNSwab,Violence,1BUgR3IIl0oNNhr7oWlN21,71,https://p.scdn.co/mp3-preview/8f969b28868a2714cd79298218b1703e5b856819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Come Down,4HgVaAMpjUrKGveeNoPjG2,Robbie Miller,0lkWoQLsP4QWkqefjR9IH1,The Come Down,0hyLZwcPPpfbA5Nrhw4l97,19,https://p.scdn.co/mp3-preview/1ec68adfb891b34ab08cf7cf75dc982a89574858?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bits and Pieces,1VRsBd9RTphskfXxowr11V,COMA,5t9SPy7c5n665XZCoAuR52,Bits and Pieces,4b72MRZfkZvrdNVii7EmpV,41,https://p.scdn.co/mp3-preview/6ae97c5c776e4e9204dc4bf0292cf8d689d8ce8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Blooming (In C Minor) - Harnes Kretzer Remix,3mYW95cFCfuWgZxpiK4qzI,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Blooming (In C Minor) - Remixes,39ylocGinn43Ifq4JQH5oz,44,https://p.scdn.co/mp3-preview/dce491df47deee03d8a8b668a811dfac04487021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Rylan,18IyalmZGqUTwvZStMf7A1,The National,2cCUtGK9sDU2EoElnk0GNB,I Am Easy to Find,240Gfpkjr06NUT3zBYrwVN,63,https://p.scdn.co/mp3-preview/2821ba2c808285f3a4f78e875f7af775e03edd26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Going Away,6U589jssrK7qTybkMtB3yl,Cinemagraph,7zMxkD6FhVkm8hBRy7jyJP,"Smile, It's Summer",5vbpUJTYTTGCdZs77zaI4s,41,https://p.scdn.co/mp3-preview/445af548e0489235a784f35d71cd4f369ed27a9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Most People,7D6qG7anBREHzusfYnuUK6,Jerry Folk,356FCJoyYWyzONni54Dgrv,Sneeze,6xRxDeAhqPA4rqEFfCqCTP,46,https://p.scdn.co/mp3-preview/dc9d1d84f311eef75bad2c6834b1c0e3fa8fa4ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Erase,3B5iO2B4HxZDXfmIGrQq9z,Cautious Clay,6iWuBN32BqCJAeXW6o3nil,Erase,6DDLcNQXmKpWTW195gkI0d,64,https://p.scdn.co/mp3-preview/4a8624ccafbff8c2ec80b00d71adc18f28bc906a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Perfume,1569kTdk8iQzPc74s989VG,People Club,6qhU2FHDtigwAIOd7M3pFj,Perfume,5ZD6VziJ68axvletLqseWx,48,https://p.scdn.co/mp3-preview/b57f5123edc0e59c4b5fd85d14b7fc154ae6e9ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ruining My Brain,7KG14h3Y3o77BmAQVhu6wm,ÄTNA,4ORnI4BzjKFbUply6fRvkX,Ruining My Brain,5m9arKrnuHle4D5kr1IT1r,51,https://p.scdn.co/mp3-preview/46a0b6fe150d1b464bab17e69e235ba5962cf3ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Die Wahrheit (liebt die Fantasie),3QRQ4E4k38dIm6UO1gSLcJ,Yukno,01JZtu3hMY7lmY36RCqzIl,Die Wahrheit (liebt die Fantasie),1ljBkPk7StgOwQtT3jSEnV,55,https://p.scdn.co/mp3-preview/f7b55eace3576efe3a45bc6b91cd0ed6edae2136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,SHABUR,6IG5Wu1X4dHEt3jyrSWG2J,DORJ,2KqUSr1euZBMRzbqIwjKqY,SHABUR,2ZmCfxeFGai6GHUfO4rivC,47,https://p.scdn.co/mp3-preview/6411b4b7fbbd404511f4c8360706fc1629646349?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Copilot,7pmKbvjqgP3P40X4I4xJhi,Tōth,02nqs3YdfX7Th3gYTYFrqc,Practice Magic and Seek Professional Help When Necessary,6LUO8UpeT69I9o01JWWYIp,43,https://p.scdn.co/mp3-preview/af541f9a07c59bf111227cad5429f6ccff72bd41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Run The Wild Flowers,3V1kaUcf9rjjiYSUHowmbK,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,Run The Wild Flowers,1EPgwIWRJzhYkKj4ecv8RM,53,not available
37,The Change It Brings,74yZYhLTexEJ12FVsnn8G3,Close Talker,4xyP3FGvSmDPFy9rsOifMh,How Do We Stay Here?,1NnBTCRUTgSzLOl5yJyzBl,32,https://p.scdn.co/mp3-preview/fc3c4d006df35d96cd53670c3f15d296c903e50d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,I Float on Your Love,6AWDdRAaK0dgJ3Gst6VT5S,Like Lovers,0puXK77dHMF8fzrgmov6MF,Everything All the Time Forever,32QWfCJJKd4CpBngWJyr94,40,https://p.scdn.co/mp3-preview/ceae1fb4efd15c4abaa0ba004ec33459a85c22ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Baby Blu,57BSFXytUc9trbqP9e3qrF,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,Miss Universe,4ghm3TST2NwYOIAd5QHjbU,50,not available
40,Being Boring,6iefABVaImRpuv2dRW02eS,Balayage,1iK3ky1mfOq7LxgtLFvwkd,Being Boring (feat. Drangsal),6ewzProCnYSIZduWGOSY5x,44,https://p.scdn.co/mp3-preview/61c118265e48e1e319cf958da564e57779331906?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Difficult Love,4mJNzlooNUYYgWdhFqQeSc,City and Colour,74gcBzlQza1bSfob90yRhR,A Pill for Loneliness,1JaCRg0kiQCxm2jxIby648,55,https://p.scdn.co/mp3-preview/784a6daa13841e4393619ff30e85f5196e269a04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,I Don’t Think I Can Do This Again (with Clairo),3udJxehBCZ27wRO9gSum4B,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,I Don’t Think I Can Do This Again,2PMTYwJd3ui0erw8OJMvC4,68,not available
43,So,55CCxcBWmurfDqbrJfphD0,Tourist,2ABBMkcUeM9hdpimo86mo6,So,7azgAC2wWDEQwkFtH1oUxS,50,https://p.scdn.co/mp3-preview/7716104422e1e00629de9d0c21b2dd4b6979d75a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Icing on the Cake,2Yfk1z6IWQFzczDAt8kr6G,Grace Ives,4TZieE5978SbTInJswaay2,2nd,6MECuIrDtZP9R0bVekN6sQ,49,https://p.scdn.co/mp3-preview/327e7558099a8b56172fc3cb0682e3a5dea913b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Holding On,4RjwMyr4D2W4py79Heop9l,Tirzah,6f5lOlSFJw9K79gaNnmWAd,Devotion,15GocbF7ybkkPP03YXtLqv,56,https://p.scdn.co/mp3-preview/6a91db1d8c4125ef69deee8c9a9cc25afee05587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Bad To Worse,4nxz8xCp2BFPdZLqKNyUN8,Ra Ra Riot,6FIrstf3kHEg3zBOyLpvxD,Superbloom,0FV6wApDnoIGhEbS3DzZi4,53,not available
47,Bloom,7LxCtSG4jKpJha72AaOGHP,Moglii,0lIIsJafIVVi3ruN2vFzpS,ii,744AASuzK99INLRpZ9eRZs,44,https://p.scdn.co/mp3-preview/05925163d16cf0bd04273a427fec19bceff90c76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Post Love Doubts,3n6c7AV8lT4LqWkZ1OIxlN,Bartleby Delicate,6DT2ylaVtF44fewRp3Nxfa,Post Love Doubts,7tbnUN8kYPjqxWqT6K5ZMC,49,https://p.scdn.co/mp3-preview/cb5010479204c4b864f00b02c9cd6b8b910033dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Miss Your Body,0jjjOIfWBEYVEIaQ8MerBv,Fuchy,3XKjnZiVficB2upo7WiYNt,Miss Your Body,0ihxNBCEii0F0uca2HtINC,43,not available
50,Icon - The Day Version,7gchQdagxZUdj83w9yYver,Dakota,5yA5DJ1AVhpetTedhGJ6I0,Icon (The Day Version),3LAEXEokbFZyM1dVTQ0M9I,31,https://p.scdn.co/mp3-preview/2c63621806a8082e96301fe03fc4845766666624?cid=fa83a2fec7c440b7a2795d600d6b2c7e
