Indie Essentials | Office Stereo,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,12837,topsify
1,This Is The Place,6JstkTVTNAWj4B9iJxvYm1,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,This Is The Place,6j84vV9vyq0lZQtjYUPjvV,45,not available
2,The Runner,0Ea3bjl9YBHWoHeAntyqnZ,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,6Z8MYRn1XEqvHCuVxV5Kji,30,https://p.scdn.co/mp3-preview/8d58b0fb4d1862caa129878944979410b0e81a2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Borderline,3O8X1DE9btbzy4UH9cSX9a,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Borderline,5zGidcaAvNahQrYhyQwAQn,77,not available
4,Are You Bored Yet? (feat. Clairo),2iyWlA4yxOs2hWN3x6fa8g,Wallows,0NIPkIjTV8mB795yEIiPYL,Scrawny / Are You Bored Yet?,0i7wFYWvxxfR5V7DvMZFVL,55,https://p.scdn.co/mp3-preview/d09dcc3195e04df650274c22ef7fff041b5d22f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Harmony Hall,39exKIvycQDgs4T6uXdyu0,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Father of the Bride,1A3nVEWRJ8yvlPzawHI1pQ,72,https://p.scdn.co/mp3-preview/c03d54eb9d5b841df4a7ea42ab4afb23763c4434?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Maybe California,4hniacOAySC5Ucu7rkjgkA,The Snuts,4AzAfQNuAyKOFG4DZMsdAo,Maybe California,3lR38sssmmT1ZJardCo5i0,50,https://p.scdn.co/mp3-preview/7165f6f1a3e882f4f28845afaa11f99ddc221719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Turn The Light,6vw4YLRXNvtFxA2yxVrR6H,Karen O,6emHCSoB4tJxTVXakbrpPz,Lux Prima,1kgurOfUl0Qu20MDK46xur,57,https://p.scdn.co/mp3-preview/68939cef55ffe15584921e5314f6fd148997d863?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Shadow On The Sea,3XMJW9woZGt9IQLv9mxKVw,CHAMPS,5laHtB7O6FKKRzLQOKOMEE,Shadow On The Sea,4xjiTrfNZyZ0FS0NaGdpCK,42,https://p.scdn.co/mp3-preview/2c79b8a22660c76c56dcfa1a856ca7c226555d29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Show Me More,6GbbHofvrrKlsMHGFpa8wP,Girl Ray,0MoDfakkeeD4FwftxAXwEd,Show Me More,69NYZU0VivQD3PPTXefOBN,15,https://p.scdn.co/mp3-preview/b0f71358f77bb1d8fee6772294c768fb3680f8aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Heavy Jacket,4wX8BwEqjMfDWRbsxVs8ZI,Courteeners,1NfJU4hy56Z4UM4iyIa1B2,Heavy Jacket,5OAaO0eIDXGIzFyLzJ3iCJ,29,https://p.scdn.co/mp3-preview/75676b714933834735e44627e6085b6a0babcc3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ghost Ship,61JDaStnXY3vbaEjliB5WA,Blur,7MhMgCo0Bl0Kukl93PZbYS,The Magic Whip,0nSzBICzQHea8grwfqa5Gb,63,https://p.scdn.co/mp3-preview/1fe5cce5d1954acf245b2c073b0edd858fd4b7e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Game,1u9jOG8ovJJeRQdcNzsj5h,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,6OeDjiOwIadYtX3yjLCY5N,47,https://p.scdn.co/mp3-preview/e0eb50588b5b016720950be4d2553630d95a656a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Heavenly,6dwNcWigdxPUcqfz2zM6GL,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Heavenly,7kFz92XFqgJ1mAOlbZT3ky,61,https://p.scdn.co/mp3-preview/eae6702755dd4ca3898ffc9760558ebd57b9e6ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Gold Rush,6x9VaGUbiSRvkLEdjeqjsN,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Thank You for Today,6agCM9GJcebduMddgFmgsO,57,https://p.scdn.co/mp3-preview/d7200b5663787413bbcfcd90c2bf7f5f43dc9567?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Superposition,67YPjbcxUypwNOwYBZquq1,Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Mirror Master,6blMxezujKgPe8HjHNveuG,70,https://p.scdn.co/mp3-preview/cfc38d04c11c480d14bb1a7ae487815d0d5d0a3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Chaos From The Top Down,75vYT7rkUS3AizWDYChNAK,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Chaos From The Top Down,2LAZtQ6OG9Bbix5bfZJ1Oh,47,https://p.scdn.co/mp3-preview/66939ce52799e26d21023cded3338ba5748c7c89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Missed Connection,6cG99KcHVOlmQOiYcu6cjb,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Missed Connection,0loOZXQoeYJ1IF7sjMCv56,54,https://p.scdn.co/mp3-preview/96d7fe66f7c92834379fd9d0897f03861884eeed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,One of Us,7CMxksycvvl7dg12SJXVaO,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,One of Us,0MhkVEeQASqX4Vg0AUOitn,65,https://p.scdn.co/mp3-preview/7294d4a9c09f7f901f22b9c0e288a168dbfee845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Hypersonic Missiles,4fB1OI42wuC0SirSR64qc1,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Hypersonic Missiles,0cIY9UjncDVIROjKfityxc,68,not available
20,Electric Behaviour,2u6ftJhY8SSi0aT0xTwvs1,Indigo Lo,1K7vnfAoxgzS6ZFV9V1AQO,Electric Behaviour,0zfLgS6Acs6tjcCBDoAb71,9,https://p.scdn.co/mp3-preview/459de97c55393ce8830fd30a7dc63b95dd8deadf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Plastic Machinery,11XCtg64UAnkTa8zwjONfK,The Charlatans,5fScAXreYFnuqwOgBsJgSd,Different Days,3kSjmsheSS3A7A0jcF6U9X,24,https://p.scdn.co/mp3-preview/dfb7677b1b8e2a84272ea7d44a11cab5cd71fa86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lo/Hi,25YlltWXRb9k7KbrEBRuhJ,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"""Let's Rock""",0aA9rYw8PEv9G7tVIJ9dKg,68,https://p.scdn.co/mp3-preview/438a89dc507d840a1d9bfdf81d74e7ab357ada02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Nobody Else,3TAudO0SOea4J84JZffcrT,THE S.L.P.,4CLxFMLXyDPDiENHddT4DA,THE S.L.P.,07eIkg6DdilvmNjCPyySU4,27,https://p.scdn.co/mp3-preview/d7f6ef91044ea9127fb1bdaa7c1e62434f6ef294?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Hey You,0soAgAXmRgBe1tpPZoq1lS,DOPE LEMON,7oZLKL1GjYiaAgssXsLmW8,Hey You,33XQkPN5SpydMaIPgc6DqQ,56,https://p.scdn.co/mp3-preview/91e05bec43aead5efb663c260a5000b6032256ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,the stage,1bO2BeuxfMsyhMHqUkkWxk,Shura,1qpR5mURxk3d8f6mww6uKT,forevher,336iT9Zlon2t5PozcmH8Hu,51,https://p.scdn.co/mp3-preview/a5b262ee540fc4b8a2ea64b0ab1d48a8167c1cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Lucy,6K3b1gElKi0uaT9gCtwFhy,Ten Tonnes,4hfrzKkUsrb3Cz209SKxbo,Ten Tonnes,6SXLTWeEKnrJeharDkiQQE,53,https://p.scdn.co/mp3-preview/a2ea4c14aa4284235b4641f9472e65aa7217c666?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,AFTERTASTE,3ZarOuID7yQHZu0uKZ2xok,The Academic,3VLf4DlBTN2ZRwygS3TNti,AFTERTASTE,3kuwEIhYml4wGj2UEfwrk7,45,https://p.scdn.co/mp3-preview/7b2ba38f3b73f15f81b7a16ea328b99126ce2130?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Valleys (My Love),6gSVpASv2ElWCX6cOqJWLM,Whitney,32aUoW94mJ7xTJI7fG0V1G,Forever Turned Around,2tEnM0jAnGCfNvrhVVVZ3h,55,https://p.scdn.co/mp3-preview/6b80afda00bd5610e95e8bb756c18ef64ee50f88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Love Is Everywhere (Beware),4hrJhMznNddR7UThDKHSJy,Wilco,2QoU3awHVdcHS8LrZEKvSM,Love Is Everywhere (Beware),0xZgWQ2PZZnFK6T1Lr0OMv,60,https://p.scdn.co/mp3-preview/fdb0bd5e0a8ebee4f7b3a3d047dce2601a86eac0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Heads Gonna Roll,4j8SIEQwxT7I4o6quMIpaa,Jenny Lewis,5cMVRrisBpDkXCVG48epED,Heads Gonna Roll,00IrVxtKb3xcliTbEAtAvK,23,https://p.scdn.co/mp3-preview/6fef62ff0ac1e3e54f3a1c0a9c1f0db81f747502?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,She's a Runaway,3l7ScOqCj6RF8ZSNgpWWq6,The Coral,6OiHleP2bHM18dXq4aZQWt,Move Through the Dawn,3skQ0HbFY5ar0jSRVLQdzS,16,https://p.scdn.co/mp3-preview/9b5a9a9a07e2adfea002eaee7dce0884299f8923?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Walk Across The Water,5AEyKKiz6YPTLR7EDFLqMS,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"""Let's Rock""",0aA9rYw8PEv9G7tVIJ9dKg,64,https://p.scdn.co/mp3-preview/2c002c0f823bbcfe362bb02278ccdf1e8b11ce5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,A Dream Is All I Need To Get By,2sTKBeI7qlmhCE65OB5TFw,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,A Dream Is All I Need To Get By,1H8fw5FOP1XEbnofW0wYZI,47,not available
34,Summer's Song,3ILvrNAnpGlBW440GMq9th,Villagers,2m1l9MLSslzup4vvokKgvQ,Summer's Song,3lqCqC7SJYGXQsD2va2ZvX,56,https://p.scdn.co/mp3-preview/7f5fd8c420a95f5d7f172892c9ad90916fbf7231?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Disparate Youth,0t2QiRkpag0fAgs9zuCPlH,Santigold,6Jrxnp0JgqmeUX1veU591p,Master of My Make-Believe,58ZjpgafuBeQ0JVxIt0hdr,59,https://p.scdn.co/mp3-preview/25b3e506c1b2542efab2ffc754a2d6bddefe0cc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sometimes,2c9OnhCwDVpKZWjOPqKiA8,Gerry Cinnamon,7cpCnhhBIU1gA7EhTFApN1,Erratic Cinematic,6fyMUlF3m4s4aMrbpT6HIL,69,https://p.scdn.co/mp3-preview/e39884ac5f532b2c1877ba64d7e6ede62478d316?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Fly Like An Eagle,0SiS1Iud2fNazdtccUxE7m,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Fly Like An Eagle,3YJD5f1gXAZo08syETdfmq,61,https://p.scdn.co/mp3-preview/7a163793e194711c0eaade9d7c7d3d43c141abcc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,That's When I Feel It,5TvHnXHpTlc4b7BIs5hP7z,Richard Ashcroft,1HGTHrRQkw0BtevSo1jucU,Natural Rebel (Deluxe),0dLWgtmBilMCXU1yWJy1P9,45,https://p.scdn.co/mp3-preview/86f6be3ebb01726de71f7a5105a095c354dee8f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Shockwave,2UnqgtIfVMfZOvCDGZuUMI,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Shockwave,7hK48vJsNdxAT9hLwpWsAd,63,https://p.scdn.co/mp3-preview/2cae3e9f01697236625d55683c89f6c16bd93f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Waiting,0vJyzamRqV9RAQhK0R9ZxV,The Sherlocks,4SrofCfzlhtiKRAsMfBxV4,Waiting,0WdCH6bIH5LRYf76sqpZwZ,44,https://p.scdn.co/mp3-preview/002fe03c46246dc8e414c75a7c8bacd199de5056?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Off My Mind,4hsx5eeRH7jlw6KdT2EbpP,Richard Hawley,1ZsnHGOLYFg8CAHQQBc1ut,Further,6Y05ozfmylDBcvNvuPEnYL,39,https://p.scdn.co/mp3-preview/d495fc265d12c9113d37c12ce151f0b03a8e15d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Catfish Kate,2A6HCBN8tKnScxJc6uiarM,Pixies,6zvul52xwTWzilBZl6BUbT,Catfish Kate,3wo9JXZ2zuTXZbUaX1ssle,55,https://p.scdn.co/mp3-preview/3fa989e63654f94b8d87e0d034d180a68a81a1fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,69,not available
44,Only Friend,5q6Ue2SuMhMBxFPDP2VWXm,Wallows,0NIPkIjTV8mB795yEIiPYL,Nothing Happens,7eed9MBclFPjjjvotfR2e9,59,https://p.scdn.co/mp3-preview/89ffc0ac7508e5f33fca17e4e0f634ca1dd789c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Rockstar,6XZ8SzOsrIPce5JdgMeJFF,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,Don't Wait 'Til Tomorrow,20XIFoAtLYdFGnDoqNwnbf,56,https://p.scdn.co/mp3-preview/0b178bf5db6f9177cccf014f32335a1673edb621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Steve's First Bruise,0xroXDLGHnH4jOQTjZwE7N,Briston Maroney,7vtSUU3zpHeYJfX6BPNrJd,Steve's First Bruise,450GGhTSexQ1bT3QDldTJm,41,https://p.scdn.co/mp3-preview/0f1a8704a812de53b735dca93c9588c1c1cb6ee0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Who Could You Be,3RBxZTl7DVjT58mfg6TVKZ,HalfNoise,0y0UzT7xPdd9niCbsODXES,Who Could You Be,6PcZFmKMKoYAqDqDCEamxz,27,https://p.scdn.co/mp3-preview/f1ba49d5a338c6b233b3ddd91a325cdc06add224?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Wild Ones,1vbPACVwM9LFShRQWodFGJ,Crystal Fighters,75EZuo5MHV2572NRpMWotC,Wild Ones,0otYhOovMODYJS0ymDLbTS,49,https://p.scdn.co/mp3-preview/6ee2ae0247c9200d3cdf8ab24490d1e8c2c06240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Calm,5mLTKuS2yHKBgxvm4Jn27a,Vistas,5YA1c6yVkPnflTLMfOgjzc,Calm,4OmCAIrckfZx2vVM9pIHZH,55,https://p.scdn.co/mp3-preview/46c82859319f3c6f836366c91a29a64d02724abe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,How Can I Compete,4UdONZMZRNR3qhLTEbPYLI,The Magic Gang,52pNByiBWx6SVMMqqcCA74,The Magic Gang (Deluxe),468IjYKaexANvGfdtxMdwd,55,https://p.scdn.co/mp3-preview/d64ceea133091f3db054b23d29a58c3f6fbd96c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
